line_id,date,amount,text,balance
B-2026-01-0053,2026-01-09,846619,WIRE IN TESSELLATE LEGAL LLC INV-2101,252601392
B-2026-01-0054,2026-01-12,-745518,ACH DEBIT FINCH RECRUITING,251855874
B-2026-01-0055,2026-01-12,-92300,WIRE OUT UMBERFIELD FINANCE CORP REFUND RF-1020,251763574
B-2026-01-0056,2026-01-12,256074,STRIPE TRANSFER PO_0700007,252019648
B-2026-01-0057,2026-01-12,670000,ACH CREDIT ALDERBANK HEALTH LTD,252689648
B-2026-01-0058,2026-01-12,742760,WIRE IN ACME ROBOTICS INC,253432408
B-2026-01-0059,2026-01-12,1577034,WIRE IN BRIGHTWATER ENERGY LTD INV-2145,255009442
B-2026-01-0060,2026-01-12,1853852,WIRE IN GOLDCREST LEGAL CO INV-2208,256863294
B-2026-01-0061,2026-01-12,302131,WIRE IN HARROWGATE SECURITY LTD INV-2237 INV-2238,257165425
B-2026-01-0062,2026-01-12,1547997,WIRE IN MARROWSTONE GAMES INV-2034,258713422
B-2026-01-0063,2026-01-12,1732610,WIRE IN NORTHWIND SECURITY LTD INV-2230,260446032
B-2026-01-0064,2026-01-12,1114448,WIRE IN NORTHWIND SECURITY LTD INV-2231,261560480
B-2026-01-0065,2026-01-12,455342,WIRE IN TESSELLATE LEGAL LLC INV-2100,262015822
B-2026-01-0066,2026-01-13,-630323,ACH DEBIT ANVIL HARDWARE LEASING,261385499
B-2026-01-0067,2026-01-13,-1105479,ACH DEBIT LUMEN OFFICE SUPPLY,260280020
B-2026-01-0068,2026-01-13,288848,STRIPE TRANSFER PO_0700008,260568868
B-2026-01-0069,2026-01-14,-3241015,ACH DEBIT QUIRE TRANSLATION,257327853
B-2026-01-0070,2026-01-14,474039,STRIPE TRANSFER PO_0700009,257801892
B-2026-01-0071,2026-01-14,711617,WIRE IN THISTLEDOWN SYSTEMS INC INV-2027 INV-2028 /CHGS USD25.00,258513509
B-2026-01-0072,2026-01-15,-13301700,ACH DEBIT PLOVER PAYROLL SERVICES,245211809
B-2026-01-0073,2026-01-15,278257,STRIPE TRANSFER PO_0700010,245490066
B-2026-01-0074,2026-01-15,225427,WIRE IN COPPERLINE MEDIA LLC,245715493
B-2026-01-0075,2026-01-16,142649,STRIPE TRANSFER PO_0700011,245858142
B-2026-01-0076,2026-01-19,-1575188,ACH DEBIT PLOVER PAYROLL SERVICES,244282954
B-2026-01-0077,2026-01-19,474339,STRIPE TRANSFER PO_0700012,244757293
B-2026-01-0078,2026-01-19,1260000,WIRE IN DUNMORE LABS LTD,246017293
B-2026-01-0079,2026-01-20,238416,STRIPE TRANSFER PO_0700013,246255709
B-2026-01-0080,2026-01-20,405900,WIRE IN PINECREST SECURITY,246661609
B-2026-01-0081,2026-01-21,459900,STRIPE TRANSFER PO_0700014,247121509
B-2026-01-0082,2026-01-22,106220,STRIPE TRANSFER PO_0700015,247227729
B-2026-01-0083,2026-01-22,3327326,WIRE IN QUILLFEATHER ENERGY LLC /CHGS USD45.00,250555055
B-2026-01-0084,2026-01-23,-2243828,ACH DEBIT PALLAS LEGAL LLP,248311227
B-2026-01-0085,2026-01-23,372474,STRIPE TRANSFER PO_0700016,248683701
B-2026-01-0086,2026-01-26,-3355024,ACH DEBIT ORBIT TRAVEL DESK,245328677
B-2026-01-0087,2026-01-26,181307,STRIPE TRANSFER PO_0700017,245509984
B-2026-01-0088,2026-01-27,-3863625,ACH DEBIT CORBEL INSURANCE,241646359
B-2026-01-0089,2026-01-27,419022,STRIPE TRANSFER PO_0700018,242065381
B-2026-01-0090,2026-01-27,2295880,ACH CREDIT GRAVELLY RETAIL CORP INV-2307,244361261
B-2026-01-0091,2026-01-27,1901409,ACH CREDIT GRAVELLY RETAIL CORP INV-2308,246262670
B-2026-01-0092,2026-01-27,2595026,WIRE IN JUNIPER ROW RETAIL LTD,248857696
B-2026-01-0093,2026-01-28,949546,STRIPE TRANSFER PO_0700019,249807242
B-2026-01-0094,2026-01-28,1481752,WIRE IN NETTLEFIELD MEDIA LTD,251288994
B-2026-01-0095,2026-01-28,1295360,WIRE IN NETTLEFIELD MEDIA LTD INV-2301,252584354
B-2026-01-0096,2026-01-29,481076,STRIPE TRANSFER PO_0700020,253065430
B-2026-01-0097,2026-01-30,404487,STRIPE TRANSFER PO_0700021,253469917
B-2026-01-0098,2026-01-30,932469,WIRE IN NETTLEFIELD MEDIA INV-2300,254402386
B-2026-01-0099,2026-01-31,-13050500,ACH DEBIT PLOVER PAYROLL SERVICES,241351886
